2026년 연간 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연번,광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,,,,,개최기간,,,,,,,,개최 주기,"최초
개최연도",예산(백만원),,,,"국비지원
부처명",방문객수(前년),,,,,축제 주최 전담조직,,,담당자,,,,,비고
,,,,,장소명,축제 유형,,,,시작일,,,종료일,,,"총
일수",비고,,,합계,국비,지방비,"기타
(민간 등)",,전체,내국인(명),외국인(명),계측 방법,비고,전담조직명,조직형태,설립근거,소속,부서명,직급/직책,성명,연락처,비고
,,,,,장소명,축제 유형,시도,시군구,읍면동,년,월,일,년,월,일,,,,,,,,,,,,,,,,,,,,,,,
338,09. 경기,광주시,제29회 광주왕실도자페스티벌,04. 전통역사,곤지암도자공원 일원,02. 녹지형,09. 경기,광주시,-,2026,5,,2026,5,,10,미정,01. 매년,1997,725,0,725,0,해당없음,"228,291","228,291",모름,01. 계측,무인,광주시문화재단,02. 재단(관광/문화/예술),광주시문화재단 설립 및 운영에 관한 조례,광주시문화재단,풀뿌리문화팀,대리,김광래,031-789-5741,
339,09. 경기,광주시,제24회 퇴촌토마토거리축제,05. 지역특산물,퇴촌면 광동로 일원,05. 기타,09. 경기,광주시,-,2026,6,19,2026,6,21,3,,01. 매년,2003,350,0,350,0,해당없음,"300,000","300,000",모름,02. 추정,주차면수,광주시문화재단,02. 재단(관광/문화/예술),광주시문화재단 설립 및 운영에 관한 조례,광주시문화재단,풀뿌리문화팀,주임,이도연,031-789-5743,
340,09. 경기,하남시,2026 하남이성산성문화제,04. 전통역사,하남이성산성 일원,04. 독립형,09. 경기,하남시,-,2026,9,19,2026,9,20,2,미정,01. 매년,1989,200,0,200,0,해당없음,"16,500","16,500",모름,99. 무응답,기타,하남문화재단,02. 재단(관광/문화/예술),하남문화재단 법인설립 및 운영 지원 조례,하남시청,문화정책과,주무관,현은지,031-5182-1359,
341,09. 경기,양주시,제9회 양주 회암사지 왕실축제,04. 전통역사, 회암사지,04. 독립형,09. 경기,양주시,옥정1동,2026,4,17,2026,4,19,3,,01. 매년,2017,501,0,501,0,해당없음,"96,064","96,064",모름,01. 계측,무인,양주시(문화관광과),01. 정부/지자체,해당없음,양주시청,문화관광과,주무관,문보미,031-8082-5652,
342,09. 경기,양주시,양주국가유산 야행,04. 전통역사,양주 관아지 일원,04. 독립형,09. 경기,양주시,양주1동,2026,9,11,2026,9,20,10,,01. 매년,2020,493,157,336,0, 국가유산청,"100,000","100,000",모름,02. 추정,주차면수,양주시(문화관광과),01. 정부/지자체,해당없음,양주시청,문화관광과,주무관,조광희,031-8082-5673,
343,09. 경기,양주시,제8회 양주 천만송이 천일홍 축제,02. 자연생태,양주나리농원 및 고읍시가지 일원,04. 독립형,09. 경기,양주시,양주2동,2026,10,,2026,10,,,미정,01. 매년,2017,630,0,630,0,해당없음,"150,000","150,000",모름,01. 계측,유인,양주시(문화관광과),01. 정부/지자체,해당없음,양주시청,문화관광과,주무관,문성우,031-8082-5655,
344,09. 경기,양주시,2026 경기ㆍ양주ㆍ지작사 드론봇 페스티벌,03. 주민화합,광적면 가납리ㆍ석우리 일원(가납리비행장 내),01. 마을형,09. 경기,양주시,광적면,2026,10,31,2026,11,2,3,,01. 매년,2022,384,0,384,0,해당없음,"42,530","42,530",모름,01. 계측,유인,양주 드론봇인재교육센터,01. 정부/지자체,양주시 드론산업 육성 및 지원에 관한 조례,양주시청,기업지원과,주무관,배규환,031-8082-6161,
345,09. 경기,광명시,페스티벌 광명,01. 문화예술,철산 상업지구 일대,01. 마을형,09. 경기,광명시,철산동,2026,10,3,2026,10,4,2,,01. 매년,2022,500,0,500,0,해당없음,"51,260","51,260",모름,99. 무응답,기타,광명시 문화관광과,01. 정부/지자체,-,광명시청,문화관광과,전문관,조현주,02-2680-2787,
346,09. 경기,광명시,2026년 제4회 광명동굴 빛 축제,01. 문화예술,광명동굴 일대,04. 독립형,09. 경기,광명시,가학동,2026,10,2,2026,10,3,2,,01. 매년,2023,290,0,290,0,해당없음,"53,936","53,936",모름,01. 계측,유인,광명도시공사,03. 기타 공공,광명도시공사 운영 조례,광명시청,문화관광과,주무관,박조민,02-2680-6059,
347,09. 경기,광명시,광명 봄꽃축제,02. 자연생태,한내천 및 소하 상업지구 일대,03. 수변형,09. 경기,광명시,소하동,2026,4,10,2026,4,11,2,,01. 매년,2025,35,0,35,0,해당없음,"13,909","13,909",모름,99. 무응답,기타,광명문화재단,02. 재단(관광/문화/예술),광몀문화재단 설립 및 운영에 관한 조례,광명시청,문화관광과,주무관,김지현,02-2680-6213,
348,09. 경기,광명시,광명마당극축제,01. 문화예술,광명시민운동장 일대,04. 독립형,09. 경기,광명시,철산동,2026,9,11,2026,9,13,3,,01. 매년,2024,170,0,170,0,해당없음,"10,388","10,388",모름,02. 추정,통신 데이터,광명문화재단,02. 재단(관광/문화/예술),광몀문화재단 설립 및 운영에 관한 조례,광명시청,문화관광과,주무관,김지현,02-2680-6213,
349,09. 경기,광명시,제23회 광명시평생학습축제,03. 주민화합,평생학습원 일대,02. 녹지형,09. 경기,광명시,하안동,2026,10,17,2026,10,18,2,,01. 매년,2002,127,0,127,0,해당없음,"32,000","32,000",모름,99. 무응답,기타,광명시 평생학습원,01. 정부/지자체,-,광명시청,평생학습원,주무관,정해경,02-2680-6200,
350,09. 경기,오산시,2026 오(oh)! 해피 장미빛축제,01. 문화예술,고인돌공원,02. 녹지형,09. 경기,오산시,금암동,2026,5,30,2026,6,13,15,,01. 매년,2025,100,0,100,0,해당없음,"40,277","40,277",모름,02. 추정,통신 데이터,오산문화재단,02. 재단(관광/문화/예술),오산문화재단 설립 및 운영 조례,오산시청,문화예술과,주무관,이시원,031-8036-7608,
351,09. 경기,오산시,2026 오(oh)! 해피 산타 마켓,01. 문화예술,오산역 광장,02. 녹지형,09. 경기,오산시,오산동,2026,12,5,2026,12,31,27,,01. 매년,2023,300,0,300,0,해당없음,"190,000","190,000",모름,02. 추정,통신 데이터,오산문화재단,02. 재단(관광/문화/예술),오산문화재단 설립 및 운영 조례,오산시청,문화예술과,주무관,홍은기,031-8036-7612,
352,09. 경기,오산시,제13회 야맥축제,03. 주민화합,오산오색시장 일원,01. 마을형,09. 경기,오산시,오산동,2026,6,5,2026,6,7,3,,01. 매년,2016,105,0,95,10,해당없음,"98,106","98,106",모름,02. 추정,통신 데이터,오산오색시장상인회,05. 민간 협/단체,전통시장 및 상점가 육성을 위한 특별법 제65조(상인회),오산시청,민생경제과,주무관,임영미,031-8036-7553,
353,09. 경기,군포시,군포철쭉축제,02. 자연생태,"철쭉동산, 철쭉공원 등 ",02. 녹지형,09. 경기,군포시,산본동,2026,4,18,2026,4,26,9,,01. 매년,2011,600,0,600,0,해당없음,"545,802","545,802",모름,01. 계측,유인,군포문화재단,02. 재단(관광/문화/예술),군포문화재단 설립 및 운영에 관한 조례,군포시청,문화예술과,주무관,박미진,031-390-0063,
354,09. 경기,이천시,제40회 이천도자기축제,01. 문화예술,이천도자예술마을 일원,01. 마을형,09. 경기,이천시,신둔면,2026,4,24,2026,5,5,12,,01. 매년,1987,"1,413",0,"1,413",0,해당없음,"1,141,000","1,141,000",모름,02. 추정,주차면수,이천시도자기축제추진위원회,04. 지자체 위원회,이천시 도자기축제 추진위원회 조례,이천시청,관광과,주무관,김진경,031-645-3682,
355,09. 경기,이천시,2026 이천펫축제,03. 주민화합,이천도자예술마을,01. 마을형,09. 경기,이천시,신둔면,2026,9,,2026,9,,2,미정,01. 매년,2023,153,0,153,0,해당없음,"14,000","14,000",모름,02. 추정,주차면수,이천시 관광과,01. 정부/지자체,,이천시청,관광과,주무관,김진경,031-645-3682,
356,09. 경기,이천시,제12회 이천인삼축제,05. 지역특산물,이천인삼판매센터,03. 수변형,09. 경기,이천시,신둔면,2026,11,,2026,11,,3,미정,01. 매년,2015,300,0,150,150,해당없음,"97,960","97,960",모름,02. 추정,주차면수,이천인삼축제추진위원회,04. 지자체 위원회,이천시 인삼축제추진위원회 운영 조례 ,이천시청,농업정책과,주무관,성우석,031-6190-7332,
357,09. 경기,이천시,제30회 장호원 햇사레복숭아축제,05. 지역특산물,"장호원농산물유통센터
(장호원읍 서동대로 8759번길117)",04. 독립형,09. 경기,이천시,장호원읍,2026,9,,2026,9,,3,미정,01. 매년,1997,418,0,308,110,해당없음,"97,000","97,000",모름,02. 추정,주차면수,복숭아축제추진위원회,04. 지자체 위원회,이천시 장호원 복숭아축제추진위원회 운영 조례,이천시청,농업정책과,주무관,조지훈,031-6190-7333,
358,09. 경기,이천시,제15회 이천시 주민자치평생학습축제,03. 주민화합,이천시청광장,02. 녹지형,09. 경기,이천시,중리동,2026,4,11,2026,4,12,2,,02. 격년,2005,243,0,243,0,해당없음,"10,000","10,000",모름,99. 무응답,기타,이천시 시민교육지원과,01. 정부/지자체,이천시 평생학습조례,이천시청,시민교육지원과,주무관,류이타,031-644-4333,
359,09. 경기,이천시,제25회 이천쌀문화축제,05. 지역특산물,이천농업테마공원,02. 녹지형,09. 경기,이천시,모가면,2026,10,,2026,10,,5,미정,01. 매년,1996,"1,672",0,"1,672",0,해당없음,"232,000","232,000",모름,99. 무응답,기타,이천쌀문화축제추진위원회,04. 지자체 위원회,이천시 쌀문화축제추진위원회 운영 조례,이천시농업기술센터,농업진흥과,주무관,강신혜,031-6190-7416,
360,09. 경기,이천시,제27회 이천 백사 산수유꽃축제,02. 자연생태,백사면 도립1리 일원,01. 마을형,09. 경기,이천시,백사면,2026,3,,2026,3,,3,미정,01. 매년,2000,200,0,200,0,해당없음,"84,000","84,000",모름,99. 무응답,,이천백사 산수유 꽃 축제 추진위원회,04. 지자체 위원회,이천백사 산수유 꽃 축제 추진위원회 운영 조례,백사면,총무팀,주무관,박연주,031-644-8512,
361,09. 경기,이천시,2026 서희외교문화제,01. 문화예술,"서희테마파크
(무촌로18번길 130)",04. 독립형,09. 경기,이천시,부발읍,2026,10,,2026,10,,2,미정,01. 매년,2017,137,0,137,0,해당없음,"6,500","6,500",모름,99. 무응답,기타,이천문화재단,02. 재단(관광/문화/예술),이천시 장위공 서희 선생 선양 사업에 관한 조례,이천문화재단,지역문화팀,대리,노상호,031-633-9743,
362,09. 경기,이천시,제40회 설봉문화제,01. 문화예술,경기도자미술관 앞 잔디마당,04. 독립형,09. 경기,이천시,관고동,2026,9,5,2026,9,6,2,,01. 매년,1987,60,0,60,0,해당없음,"3,000","3,000",모름,99. 무응답,기타,이천문화원,02. 재단(관광/문화/예술),이천시 문화원 지원 및 육성에 관한 조례,이천시청,문화예술과,주무관,장소정,031-645-3672,
363,09. 경기,이천시,2026 이천 첨단방산드론 대전,01. 문화예술,이천시종합운동장,03. 수변형,09. 경기,이천시,부발읍,2026,10,,2026,10,,3,미정,01. 매년,2025,300,0,300,0,해당없음,"46,000","46,000",모름,01. 계측,유인,이천시 미래도시과,01. 정부/지자체,,이천시청,미래도시과,주무관,장연수,031-644-2063,
364,09. 경기,안성시,안성맞춤 남사당 바우덕이축제,04. 전통역사,안성맞춤랜드 및 안성천,03. 수변형,09. 경기,안성시,-,2026,10,2,2026,10,5,4,,01. 매년,2001,"21,826",40,"21,786",0,문화체육관광부,"603,622","603,622",모름,01. 계측,유인,안성맞춤 남사당 바우덕이축제사무국,01. 정부/지자체,안성맞춤 남사당바우덕이 축제 조례 ,안성시청,문화예술사업소,주무관,김아현,031-678-5414,
365,09. 경기,안성시,안성맞춤포도축제,05. 지역특산물,서운면 일원,05. 기타,09. 경기,안성시,서운면,2026,,,2026,,,3,미정,01. 매년,2007,55,0,50,5,해당없음,미집계,미집계,미집계,03. 미집계,,안성맞춤포도축제위원회,04. 지자체 위원회,해당없음,안성시청,문화예술사업소,주무관,곽미라,031-678-5993,
366,09. 경기,안성시,죽주대고려문화축제,04. 전통역사,동안성시민복지센터 일원,04. 독립형,09. 경기,안성시,죽산면,2026,,,2026,,,2,미정,01. 매년,2004,55,0,50,5,해당없음,미집계,미집계,미집계,03. 미집계,,죽주대고려문화축제위원회,04. 지자체 위원회,해당없음,안성시청,문화예술사업소,주무관,괵미라,031-678-5993,
367,09. 경기,구리시,2026 구리 유채꽃 축제,01. 문화예술,구리한강시민공원,02. 녹지형,09. 경기,구리시,-,2026,5,8,2026,5,10,3,,01. 매년,2001,362,0,362,0,해당없음,"300,000","300,000",모름,02. 추정,경찰추산,구리문화원,02. 재단(관광/문화/예술),구리시문화원육성진흥에관한조례,구리시청,문화예술과,주무관,김신철,031-550-2065,
368,09. 경기,구리시,2026 구리 코스모스 축제,01. 문화예술,구리한강시민공원,02. 녹지형,09. 경기,구리시,-,2026,10,,2026,10,,3,미정,01. 매년,2001,410,0,410,0,해당없음,"300,000","300,000",모름,02. 추정,경찬추산,구리문화원,02. 재단(관광/문화/예술),구리시문화원육성진흥에관한조례,구리시청,문화예술과,주무관,김신철,031-550-2065,
369,09. 경기,구리시,동구릉 힐링예술제,01. 문화예술,동구릉,02. 녹지형,09. 경기,구리시,-,2026,10,17,2026,10,18,2,,01. 매년,2023,53,0,49,4,해당없음,"6,865","6,865",모름,02. 추정,통신 데이터,구리문화원,02. 재단(관광/문화/예술),구리시문화원육성진흥에관한조례,구리시청,문화예술과,주무관,김새결,031-550-8362,
370,09. 경기,구리시,2026 구리 빛 축제,01. 문화예술,미정,06. 미정,09. 경기,구리시,-,2026,10,18,2026,12,25,69,,01. 매년,2023,290,0,290,0,해당없음,"10,000","10,000",모름,02. 추정,지하철 이용률 분석,경기 구리시,01. 정부/지자체,,구리시청,문화예술과,주무관,김지현,031-550-2485,
371,09. 경기,구리시,2026 마신는 구리 축제,05. 지역특산물,구리광장(미정),02. 녹지형,09. 경기,구리시,인창동,2026,10,,2026,10,,2,미정,01. 매년,2023,280,0,280,0,해당없음,"10,134","10,134",모름,01. 계측,유인,구리시상권활성화재단,02. 재단(관광/문화/예술),구리시 상권활성화재단 설립 및 운영 조례,구리시청,일자리경제과,주무관,정지혜,031-550-2164,
372,09. 경기,구리시,구리전통시장 거리축제,01. 문화예술,구리전통시장,01. 마을형,09. 경기,구리시,수택동,2026,10,,2026,10,,3,미정,01. 매년,2006,36,0,30,6,해당없음,"1,000","1,000",모름,01. 계측,유인,구리전통시장상인회,05. 민간 협/단체,전통시장 및 상점가 육성을 위한 특별법,구리시청,일자리경제과,주무관,김수민,031-550-8797,
373,09. 경기,구리시,제20회 구리시 평생학습축제,01. 문화예술,미정,06. 미정,09. 경기,구리시,-,2026,,,2026,,,,미정,01. 매년,2006,미확정,0,미확정,미확정,해당없음,"6,250","6,250",모름,99. 무응답,기타,구리시 평생학습과,01. 정부/지자체,,구리시,평생학습과,주무관,이현경,031-550-8773,
374,09. 경기,포천시,제29회 포천 산정호수 명성산 억새꽃축제,01. 문화예술,산정호수 호수광장,02. 녹지형,09. 경기,포천시,영북면,2026,10,16,2026,10,18,3,,01. 매년,1997,450,0,450,0,해당없음,"50,000","50,000",모름,01. 계측,무인,포천문화관광재단,02. 재단(관광/문화/예술),포천시 포천문화관광재단 설립 및 운영에 관한 조례,포천시,관광과,주무관,김종하,031-538-4009,
375,09. 경기,포천시,제2회 포천 한탄강 봄 가든페스타,02. 자연생태,한탄강 생태경관단지,03. 수변형,09. 경기,포천시,관인면,2026,5,2,2026,6,7,37,,01. 매년,2024,290,0,290,0,해당없음,"159,902","159,902",모름,01. 계측,티켓판매,포천시 관광과,01. 정부/지자체,해당없음,포천시,관광과,주무관,박종상,031-538-3143,
376,09. 경기,포천시,제3회 포천 한탄강 가을 가든페스타,02. 자연생태,한탄강 생태경관단지,03. 수변형,09. 경기,포천시,관인면,2026,9,12,2026,11,1,51,,01. 매년,2024,400,0,400,0,해당없음,"290,788","290,788",모름,01. 계측,티켓판매,포천시 관광과,01. 정부/지자체,해당없음,포천시,관광과,주무관,박종상,031-538-3143,
377,09. 경기,포천시,제2회 반려동물  봄 관광축제(펫스타),01. 문화예술,한탄강 생태경관단지,03. 수변형,09. 경기,포천시,관인면,2026,5,2,2026,5,3,2,,01. 매년,2025,100,50,50,0,문화체육관광부,"5,000","5,000",모름,99. 무응답,기타,포천시 관광과,01. 정부/지자체,해당없음,포천시,관광과,주무관,최은옥,031-538-3370,
378,09. 경기,포천시,제3회 반려동물  가을 관광축제(펫스타),01. 문화예술,한탄강 생태경관단지,03. 수변형,09. 경기,포천시,관인면,2026,10,24,2026,10,25,2,,01. 매년,2025,100,50,50,0,문화체육관광부,"5,000","5,000",모름,99. 무응답,기타,포천시 관광과,01. 정부/지자체,해당없음,포천시,관광과,주무관,최은옥,031-538-3370,
379,09. 경기,포천시,제22회 포천 백운계곡 동장군 축제,03. 주민화합,백운계곡 일원,03. 수변형,09. 경기,포천시,이동면,2026,12,19,2027,2,14,58,,01. 매년,2004,150,0,0,150,해당없음,"60,000","59,000","1,000",01. 계측,티켓판매,백운계곡상인협동조합,05. 민간 협/단체,해당없음,포천시,관광과,주무관,김종하,031-538-4009,
380,09. 경기,포천시,제14회 포천 한우 축제,05. 지역특산물,한탄강 생태경관단지,03. 수변형,09. 경기,포천시,관인면,2026,9,12,2026,9,13,2,,01. 매년,2012,200,0,200,0,해당없음,"18,389","18,389",0,01. 계측,티켓판매,포천시 축산과,01. 정부/지자체,해당없음,포천시,축산과,주무관,이승인,031-538-3861,
381,09. 경기,양평군,제16회 양평용문산 산나물축제,05. 지역특산물,용문산관광지,02. 녹지형,09. 경기,양평군,-,2026,4,24,2026,4,26,3,,01. 매년,2008,767,0,767,0,해당없음,"148,038","148,038",모름,02. 추정,통신 데이터,양평군 축제추진위원회,04. 지자체 위원회,양평군 축제 운영 및 지원에 관한 조례,양평군청,관광과,행정7급/임기제다급,김정훈/이미지,031-770-1072/770-1079,
382,09. 경기,양평군,제4회 우리밀 축제,05. 지역특산물,청운면 일원,05. 기타,09. 경기,양평군,-,2026,6,,2026,6,,2,미정,01. 매년,2023,200,0,200,0,해당없음,"42,060","42,060",모름,99. 무응답,기타,양평군 축제추진위원회,04. 지자체 위원회,양평군 축제 운영 및 지원에 관한 조례,양평군청,관광과,행정7급/임기제다급,김정훈/이미지,031-770-1072/770-1079,
383,09. 경기,양평군,제4회 겨울엔 양평,03. 주민화합,양평군 일원,05. 기타,09. 경기,양평군,-,2026,12,1,2027,1,30,61,,01. 매년,2023,200,0,200,0,해당없음,미집계,미집계,미집계,03. 미집계,,양평군 축제추진위원회,04. 지자체 위원회,양평군 축제 운영 및 지원에 관한 조례,양평군청,관광과,행정7급/주무관,김정훈,031-770-1072,
384,09. 경기,양평군,2026 지역문화박람회,01. 문화예술,양강섬 일원,03. 수변형,09. 경기,양평군,양평읍,2026,10,9,2026,10,11,3,,03. 일회성,2023,500,300,200,0,문화체육관광부,"60,000","60,000",0,99. 무응답,기타,양평문화원,02. 재단(관광/문화/예술),지방문화원진흥법 제2조,양평문화원/양평군청,양평문화원/문화체육과,사무국장/주무관,최근철/한태진,031-774-3866/770-2897,
385,09. 경기,양평군,2026년 청소년 영화제,01. 문화예술,양평군 일원,05. 기타,09. 경기,양평군,-,2026,9,1,2026,,,3,미정,01. 매년,2023,20,0,20,0,해당없음,800,800,모름,99. 무응답,,양평군 축제추진위원회,04. 지자체 위원회,"청소년활동진흥법제 63조, 양평군청소년기본조례 제5조",양평군청,가족복지과,사회복지8급/주무관,김민진,031-770-3783,
386,09. 경기,양평군,제9회 갈산누리봄축제,03. 주민화합,양평생활체육공원 일원,02. 녹지형,09. 경기,양평군,양평읍,2026,4,10,2026,4,12,3,,01. 매년,2017,45,0,0,45,해당없음,"50,000","50,000",0,99. 무응답,,갈산누리봄축제 추진위원회,04. 지자체 위원회,-,양평읍,총무팀,행정9급/주무관,진종휘,031-770-3006,
387,09. 경기,양평군,용천3리 벚꽃길 걷기 및 작은음악회,03. 주민화합,옥천면 용천3리 일원,03. 수변형,09. 경기,양평군,옥천면,2026,4,,2026,4,,2,미정,01. 매년,2010,10,0,10,0,해당없음,미집계,미집계,미집계,03. 미집계,,용천3리 새마을회,05. 민간 협/단체,지역문화진흥법 제4조1항,양평군청,옥천면,보건8급/주무관,이민지,031-770-3132,
388,09. 경기,양평군,제27회 양평단월고로쇠축제,05. 지역특산물,단월레포츠공원 일원,02. 녹지형,09. 경기,양평군,단월면,2026,3,21,2026,3,22,2,,01. 매년,1999,150,0,150,0,해당없음,"80,000","80,000",모름,99. 무응답,기타,양평단월고로쇠축제추진위원회,04. 지자체 위원회,양평군 축제 운영 및 지원에 관한 조례,양평군청,단월면,행정8급/주무관,김다현,031-770-3192,
389,09. 경기,양평군,2026 양평수박축제,05. 지역특산물,청운용두시장 일원,01. 마을형,09. 경기,양평군,청운면,2026,7,4,2026,7,5,2,,01. 매년,2025,110,0,110,0,해당없음,"25,000","25,000",모름,99. 무응답,기타,청운면 수박축제추진위원회,04. 지자체 위원회,양평군 축제 운영 및 지원에 관한 조례,양평군청,청운면,행정7급/주무관,서동휘,031-770-3232,
390,09. 경기,양평군,제7회 양평부추축제,05. 지역특산물,양동역 일원,05. 기타,09. 경기,양평군,양동면,2026,10,9,2026,10,10,2,,01. 매년,2016,150,0,150,0,해당없음,"50,000","50,000",모름,99. 무응답,기타,양평부추축제추진위원회,04. 지자체 위원회,양평군 축제 운영 및 지원에 관한 조례,양평군청 ,총무팀,행정8급/주무관,이명구,031-770-3253,
391,09. 경기,양평군,제3회 지평전통발효축제,05. 지역특산물,지평면사무소 앞 광장 및  시장 일원,01. 마을형,09. 경기,양평군,지평면,2026,10,,2026,10,,2,미정,01. 매년,2023,120,0,120,0,해당없음,"40,000","40,000",모름,99. 무응답,,지평축제추진위원해,04. 지자체 위원회,양평군 축제 운영 및 지원에 관한 조례,지평면,총무팀,전산8급/주무관,신호찬,031-770-3284,
392,09. 경기,양평군,제23회 양평산수유한우축제,05. 지역특산물,개군면 시가지 일원,05. 기타,09. 경기,양평군 ,개군면,2026,4,4,2026,4,5,2,,01. 매년,2004,150,0,150,0,해당없음,"80,000","80,000",0,01. 계측,유인,양평산수유한우축제위원회,04. 지자체 위원회,양평군 축제 운영 및 지원에 관한 조례,양평군,개군면,행정8급/주무관,이지예,031-770-3342,
393,09. 경기,여주시,제5회 여주선비장터축제,05. 지역특산물,가남읍 태평리 110-19 일원,05. 기타,09. 경기,여주시,가남읍,2026,10,24,2026,10,25,2,,01. 매년,2018,120,0,120,0,해당없음,"15,000","15,000",모름,99. 무응답,기타,가남읍축제추진위원회,04. 지자체 위원회,여주시 축제 발전과 지원에 관한 조례,여주시청,가남읍,주무관,장은영,031-887-3835,
394,09. 경기,여주시,제4회 싸리산 축제,03. 주민화합,여주시민공원(현암동637-112번지),02. 녹지형,09. 경기,여주시,오학동,2026,4,17,2026,4,19,3,,01. 매년,2023,50,0,50,0,해당없음,"4,000","4,000",모름,99. 무응답,기타,싸리산축제추진위원회,04. 지자체 위원회,여주시 축제 발전과 지원에 관한 조례 ,여주시청,오학동,주무관,이승준,031-887-3973,
395,09. 경기,여주시,제4회 여주 대심섬 축제,02. 자연생태,대신섬 일원,03. 수변형,09. 경기,여주시,대신면,2026,10,,2026,10,,2,미정,01. 매년,2023,50,0,50,0,해당없음,"10,000","10,000",모름,01. 계측,무인,여주 댄심섬 축제추진위원회,04. 지자체 위원회,여주시 축제 발전과 지원에 관한 조례,여주시청,대신면,주무관,조한울,031-887-3932,
396,09. 경기,여주시,제4회 강천섬 힐링 문화축제,01. 문화예술,강천섬 일원,03. 수변형,09. 경기,여주시,강천면,2026,10,,2026,11,,10,미정,01. 매년,2023,미확정,0,미확정,0,해당없음,"70,000","70,000",모름,02. 추정,주차면수,강천섬 축제추진위원회,04. 지자체 위원회,여주시 축제 발전과 지원에 관한 조례,여주시청,강천면,주무관,박상신,031-887-3982,
397,09. 경기,여주시,제10회여주흥천남한강벚꽃축제,02. 자연생태,흥천면 귀백리 168-3번지 일원,03. 수변형,09. 경기,여주시,흥천면,2026,4,3,2026,4,5,3,,01. 매년,2017,160,0,160,0,해당없음,"250,000","250,000",모름,99. 무응답,기타,여주흥천남한강벚꽃축제위원회,04. 지자체 위원회,여주시 축제 발전과 지원에 관한 조례,여주시청,흥천면,주무관,이새하,031-887-3875,
398,09. 경기,여주시,제21회 산북품실축제,03. 주민화합,산북면체육공원,02. 녹지형,09. 경기,여주시,산북면,2026,10,,2026,10,,2,미정,01. 매년,2004,120,0,80,40,해당없음,"3,000","3,000",모름,99. 무응답,기타,산북품실축제위원회,04. 지자체 위원회,여주시 축제 발전과 지원에 관한 조례,여주시청,산북면,주무관,이동선,031-887-3913,
399,09. 경기,여주시,제38회 여주도자기축제,05. 지역특산물,신륵시관광지 일원,04. 독립형,09. 경기,여주시,-,2026,5,1,2026,5,10,10,,01. 매년,1990,"1,150",0,"1,150",0,해당없음,"1,168,050","1,168,050",모름,01. 계측,무인,여주세종문화관광재단,02. 재단(관광/문화/예술),여주세종문화관광재단 설립 및 운영에 관한 조례,여주세종문화관광재단,축제운영팀,차장,이용수,031-881-9692,
400,09. 경기,여주시,2026 여주오곡나루축제,04. 전통역사,신륵시관광지 일원,04. 독립형,09. 경기,여주시,-,2026,10,23,2026,10,25,3,,01. 매년,1998,"1,050",0,"1,050",0,해당없음,"408,405","407,053","1,352",01. 계측,무인,여주세종문화관광재단,02. 재단(관광/문화/예술),여주세종문화관광재단 설립 및 운영에 관한 조례,여주세종문화관광재단,축제운영팀,차장,구찬숙,031-881-9693,
401,09. 경기,여주시,제2회 북내 삼색별미축제,03. 주민화합,북내면 당우리 일원,05. 기타,09. 경기,여주시,북내면,2026,10,3,2026,10,4,2,,01. 매년,2025,43,0,43,0,해당없음,800,800,모름,99. 무응답,,북내면행정복지센터,01. 정부/지자체,여주시 축제 발전과 지원에 관한 조례,여주시청,북내면,주무관,이조은,031-887-3483,
402,09. 경기,여주시,제20회 금사참외축제,05. 지역특산물,금사근린공원 일원,02. 녹지형,09. 경기,여주시,금사면,2026,5,22,2026,5,24,3,,01. 매년,2007,160,0,130,30,해당없음,"100,000","100,000",모름,01. 계측,유인,금사참외축제 추진위원회,04. 지자체 위원회,여주시 축제 발전과 지원에 관한 조례,여주시청,금사면,주무관,윤효녕,031-887-3893,
403,09. 경기,여주시,제2회 중앙동 청심문화축제,01. 문화예술,하동 제일시장 공영주차장,01. 마을형,09. 경기,여주시,중앙동,2026,10,,2026,10,,,미정,01. 매년,2025,20,0,20,0,해당없음,500,500,모름,99. 무응답,기타,여주시 중앙동,01. 정부/지자체,여주시 축제 발전과 지원에 관한 조례,여주시,중앙동,주무관,유지현,031-887-3418,
404,09. 경기,의왕시,의왕백운호수축제,01. 문화예술,의왕백운호수공원,02. 녹지형,09. 경기,의왕시,학의동,2026,9,,2026,10,,2,미정,01. 매년,2001,595,0,595,0,해당없음,"60,000","60,000",모름,99. 무응답,기타,경기도 의왕시,01. 정부/지자체,의왕시 축제 발전및운영에 관한 조례,의왕시청,문화관광과,주무관,이다겸,031-345-2548,
405,09. 경기,동두천시,제26회 동두천 락 페스티벌,01. 문화예술,신천교 하부 특설무대,03. 수변형,09. 경기,동두천시,상패동,2026,9,,2026,9,,3,미정,01. 매년,1999,350,0,350,0,해당없음,"16,000","15,900",100,01. 계측,티켓판매,동두천락페스티벌조직위원회,04. 지자체 위원회,문화예술진흥법,동두천시청,문화예술과,주무관,유재복,031-860-2105,
